ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
75,Newtown Cemetery,40.7363805,-73.8696355,30,No,198,1730,1928,1,58633.2,17740,40.2,16.34,48.14,943469,35995,9.59,5.69,1.52,52.58,0.06,21.7,8.87,80.9,6439,21.54,11.81,75551
76,Mount Olivet Cemetery,40.7203134,-73.8952537,,Yes,173,1851,2024,1,14311.3,4330,43.3,19.49,43.92,839815,50870,67.41,1.62,0.42,8.57,0,12.82,9.15,69.9,1845,18.44,9.25,115244
77,Barkeloo Cemetery,40.6367861,-74.0347311,,Yes,299,1725,2024,1,31022,9386,42,18.53,45.21,1012725,58492,62.5,2.58,0.3,18.84,0.02,6.55,9.22,67.8,4361,25.82,11.35,90993
78,Ursuline Sister Burial Grounds,40.8167716,-73.9102549,55,No,37,1855,1892,1,65226.9,19735,34.4,11.57,55.16,336538,19705,8.92,35.7,1.57,1.21,0.14,37.41,15.06,83.6,7745,35.66,33.87,31799
79,Amity Street Baptist Burial Ground,40.729082,-73.9966837,56,No,35,1814,1849,1,79716.7,24119,35,17.25,34.54,1326856,116016,73.17,2.94,0.09,12.29,0.06,2.6,8.84,52.3,15292,12.29,7.09,154600
80,St. Mary's Cemetery,40.5967809,-74.0818244,,Yes,171,1853,2024,1,12433.9,3762,41.6,18.5,45.68,705630,34543,51.73,12.33,0.56,18,0.05,10.05,7.28,77.8,1425,22.12,12.46,65599
81,"Bayside Cemetery, Mokom Sholom cemetery& Acacia Cemetery",40.6777631,-73.8550004,,Yes,163,1861,2024,1,29964.4,9066,36.6,13.1,60.3,733666,34049,12.89,7.39,1.88,43.78,0.02,23.84,10.21,84,2724,25.99,11.48,88060
82,"Public Burial Ground,Queens",40.7108555,-73.7389615,57,No,54,1844,1898,1,22329.5,6756,40.8,16.89,54.19,636661,34936,3.92,65.54,0.68,9.07,0.21,11.66,8.93,65.7,2200,32.33,10.95,103900
83,New Lots Cemetery,40.6657369,-73.8860248,34,No,97,1823,1920,1,54399.3,16459,37.5,14.11,53.78,662069,25355,4.1,69.86,0.61,1.73,0.09,11.62,11.99,66.4,6215,24.55,26.69,55277
84,Bethel A.M.E. Church Cemetery,40.8348638,-73.8557934,58,No,45,1849,1894,1,80850.3,24462,38,13.95,56.44,265086,28837,7.62,26.43,1.6,29.64,0.11,23.23,11.37,88,9724,29.33,19.07,59411
85,"African Burial Ground, Harlem",40.8029678,-73.9318501,59,No,194,1686,1880,1,32016.9,9687,36.6,14.98,61.75,573718,20878,11.48,38.09,2.02,3.4,0.08,31.64,13.28,86,4424,31.67,45.32,19504
86,St. Mary of the assumption cemetery,40.6304628,-74.1451084,,Yes,0,,,1,16710.8,5056,37.5,12.6,59.02,701087,33348,24.43,23.69,3.4,10.9,0.16,25.89,11.53,89.4,1734,22.17,14.29,81131
87,"Public Burial Ground, Flushing",40.7546461,-73.8023791,,Yes,0,,,1,22111.4,6690,41.1,17.38,44.29,915676,34580,17.97,1.46,0.43,56.85,0,15.71,7.58,76.1,2359,20.96,11.17,76159
88,"Macedonia A.M.E Cemetery,",40.7618648,-73.8277463,60,Yes,187,1837,2024,1,59370.2,17963,46,22.36,37.56,673169,30004,7.5,4.74,0.44,74.14,0.02,8.03,5.13,57.4,8047,26.33,23.39,42042
89,"Friend's Cemetery, Prospect Park",40.6599757,-73.9726505,,Yes,178,1846,2024,1,6362.4,1925,43.1,15.64,56.76,1908120,96665,78.49,2.03,0.21,6.7,0,3.95,8.62,47.1,932,5.8,1.35,162141
90,"Public Burial Ground, East 50th Street",40.7560574,-73.9736201,61,No,18,1825,1843,1,31683.1,9586,34.7,12.74,27.66,956933,113491,58.4,5.14,0.1,24.02,0.29,2.79,9.26,66.1,7197,12.78,7.39,121232
91,"Public Burial Ground, Bryant Park",40.7539292,-73.9826485,62,No,12,1825,1837,1,16928.9,5122,39.2,14.1,29.86,889151,129367,41.82,19.86,0.45,23.76,0.49,5.25,8.38,79.2,4077,13.08,9.69,174724
92,"Public Burial Ground, Washington square Park",40.7308148,-73.9974169,63,No,28,1797,1825,1,96827.4,29296,34.4,16.19,33.34,1297923,122926,73.16,3.13,0.1,11.79,0.05,2.93,8.83,53,18258,11.64,6.24,165065
93,"Public Burial Ground, Madison Square Park",40.7426995,-73.9875403,65,No,3,1794,1797,1,66661.4,20169,33.9,9.9,33.53,1556349,124088,63.69,8.06,0.18,15.84,0.05,3.77,8.4,64,12861,8.15,10.6,178300
94,Alm's House Burial Ground,40.7126449,-74.0056828,66,No,0,,,1,71721.5,21700,33.3,10.33,41.2,981889,107131,58.52,6.61,0.19,22.68,0.1,3.04,8.87,66.9,11742,9.15,10.2,179618
95,Kings County Cemetery,40.657328,-73.9325791,33,No,71,1843,1914,1,39053.5,11816,41.8,18.64,46.42,632723,31371,5.95,79.77,0.19,1.34,0.06,3.38,9.32,43.6,4423,22.62,17.09,61777
96,18th Street Methodist Churchyard,40.7427113,-74.0012483,67,No,109,1836,1945,1,89503.2,27080,38.2,15.88,35.35,911189,108149,66.35,5.82,0.44,10.68,0.14,6.11,10.46,65.5,18750,13.63,11.53,121061
97,Merchant Marine Cemetery,40.5643229,-74.1471812,,Yes,123,1901,2024,1,10665.7,3227,42.7,19.49,50.14,628210,44956,82.71,1.18,0.15,4.68,0,3.9,7.38,46.7,1228,12.96,17.9,112011
98,"African Burial Ground, Elmhurst",40.7424148,-73.8745699,24,No,110,1818,1928,1,93337.2,28240,39,13.27,56.07,769893,25393,7.42,1.36,2.81,47.34,0.03,32.48,8.57,82.7,9316,19.48,10.96,62352
99,Canarsie Cemetery,40.6366547,-73.9044092,32,Yes,136,1888,2024,1,39724.5,12019,39.8,16.83,55.45,715527,35288,4.86,80.81,0.1,2.75,0.02,3.68,7.8,41.8,4202,18.59,10.37,84973
100,Underhill Family Burial Ground,40.8697504,-73.8597506,68,No,249,1775,2024,1,42940.4,12992,37.8,13.84,54.09,637715,32801,8.74,48.55,1.13,5.87,0.17,24.75,10.81,83.3,5013,25.29,17.06,67041
101,Spring Street Presbyterian Church Burial Vaults,40.725416,-74.0054565,69,No,155,1811,1966,1,42785,12945,35.9,14.62,40.42,2000001,119250,74.71,2.33,0.08,10.3,0.04,2.48,10.06,51.5,8997,8.89,5.1,157907
102,Fredrick Douglass Memorial Park,40.5637141,-74.134993,,Yes,89,1935,2024,1,8200.1,2481,44.7,22.33,46.69,647451,59974,80.85,0.73,0.12,8.67,0,3.55,6.13,46.7,920,29.08,6.21,127888
103,"Friend's Cemetery, Flushing",40.7628223,-73.8301714,,Yes,348,1676,2024,1,35199.7,10650,45.5,23.41,36.42,689723,29220,7.77,6.58,0.4,72.12,0.03,8.01,5.09,59.4,4931,29,26.07,41791
104,Holy Cross Cemetery,40.6470233,-73.9382502,,Yes,175,1849,2024,1,19622.6,5937,41.6,19.44,44.18,627242,33865,1.89,81.05,0.27,3.71,0.03,3.27,9.79,41.7,2156,15.85,11.33,75031
105,"Quarantine Cemeteries, Tompkinsville (North)",40.6411248,-74.0772274,70,No,12,1846,1858,1,17560.2,5313,40.3,15.73,43.04,655759,45202,32.73,24.77,1.51,14.15,0.04,15.06,11.74,86.8,2592,21.69,20.38,67033
106,"Quarantine Cemeteries, Tompkinsville (South)",40.6388151,-74.0768136,71,No,59,1799,1858,1,14476.5,4380,40.3,15.39,45.53,647857,47431,33.56,21.89,1.67,13.65,0.05,17.58,11.6,87.3,2113,18.59,20.5,76575
107,"Quarantine Cemeteries, Silverlake",40.6214394,-74.0953913,72,Yes,132,1892,2024,1,7135.8,2159,41.5,19.87,43.59,541667,48858,49.05,22.33,0.14,6.81,0.05,9.12,12.51,80,1051,30.98,6.46,86798
108,"Quarantine Cemeteries, Seguine's Point",40.5153911,-74.1898895,73,No,30,1858,1888,1,1024.6,310,41.6,17.1,52.54,833333,50659,76.77,1.29,0.32,9.35,0,3.55,8.71,52,120,16.39,22.13,105736
109,Mount richmond Cemetery,40.5680268,-74.1440413,,Yes,115,1909,2024,1,6600.4,1997,44.1,20.53,49.33,715785,63840,84.13,0.7,0.25,5.11,0,3.61,6.26,43.3,766,10.95,0,128249
110,Rantus Family Cemetery,40.734981,-73.8223354,,No,99,1853,1952,1,11191.2,3386,35.9,18.84,44.05,795802,44223,44.51,5.32,0.83,36.56,0.06,6.41,6.29,72.6,1301,13.59,11.65,75826
111,Machpelah Cemetery,40.6937988,-73.8863912,,Yes,169,1855,2024,1,4795.8,1451,41.6,15.02,48.88,826480,48131,45,2.55,0.9,5.17,0.07,30.05,16.26,83.8,536,15.65,0,105831
112,New Union Field/Beth-El Cemetery,40.6953103,-73.8867826,,Yes,149,1875,2024,1,7003.6,2119,41.4,15.05,48.71,812198,46239,45.54,2.45,0.85,5.14,0.09,29.92,15.95,83.7,785,16.11,1.59,101165
113,Union Field Cemetery,40.6932599,-73.8891824,,Yes,169,1855,2024,1,6583.8,1992,41.3,15.11,50.56,838832,45570,42.22,2.36,1.31,4.82,0.1,32.58,16.62,84,737,16.27,3.13,107225
