ID,Name,Latitude,Longitude,Georef. S/N,Still Exists,Lifespan,Year Built,Year Destroyed,HasData,Population Density,Total Population,Median Age,% Seniors,% w/ Children,Median Home Value,Per Capita Income,% White,% Black,% Amerindian,% Asian,% Pacific Islander,% Other Race,% 2+ Races,Diversity Index,Total Housing Units,% w/ Disability,% Below Poverty,Median Household Income
150,New York City Marble Cemetery,40.7245868,-73.988935,,Yes,193,1831,2024,1,95462.4,28883,33.4,14,31.49,887246,74808,60.15,5.68,0.53,16.73,0.14,7.24,9.54,70.7,18419,16.09,18.32,78835
151,New York Marble Cemetery,40.7256338,-73.9909627,,Yes,193,1831,2024,1,81640.3,24701,34.4,15.38,30.84,929167,81540,59.7,5.87,0.5,17.26,0.14,7.12,9.42,70.6,15321,18.3,18.82,79954
152,St. raymond Churchyard,40.8421566,-73.8537731,,Yes,182,1842,2024,1,53672.2,16239,39,14.72,49.03,528770,32256,12.89,34.26,1.31,17.11,0.07,22.98,11.37,88.2,6854,24.75,22.94,64599
153,Most Holy Trinity Cemetery,40.6887258,-73.902831,,Yes,173,1851,2024,1,23879.6,7225,33.2,10.16,60.45,1057692,30372,19.67,23.93,1.52,4.17,0.08,35.86,14.77,87.5,2822,26.03,22.35,59651
154,Brinckerhoff Cemetery,40.7320141,-73.7882783,,Yes,294,1730,2024,1,16611.6,5026,41.3,19.82,46.71,955707,44772,34.2,5.77,0.28,45.64,0,6.29,7.82,74,1742,23.7,8.27,106768
155,St. James churchyard,40.6970455,-73.9865002,,Yes,202,1822,2024,1,39612.1,11985,35,14.13,37.58,873434,82767,40.11,18.67,0.38,24.18,0.02,6.45,10.19,80.1,6807,21.75,16.44,117789
157,St. Mark's in the Bowery Churchyard and Cemetery,40.7303059,-73.9868122,88,Yes,225,1799,2024,1,105962.8,32060,29.9,10.24,28.84,980128,86898,65.76,4.36,0.26,16.15,0.08,4.47,8.92,62.7,19033,12.71,16.68,110982
158,Van Cortlandt family Burial Ground,40.8958357,-73.8922366,,Yes,139,1749,1888,1,2687.1,813,36.3,13.78,41.58,350000,53824,38.5,18.33,0.37,6.77,0.25,19.93,15.74,87,437,7.74,4.52,94304
160,Cedar Grove-Mount Hebron Cemetery,40.741263,-73.833796,,Yes,131,1893,2024,1,11326.7,3427,39.9,17.01,46.88,1017588,34335,13.66,1.37,0.58,64.87,0,12.52,6.97,69.1,1112,25.91,8.52,69464
161,Willett Family Burial Ground,40.7427454,-73.8347778,,Yes,302,1722,2024,1,11891.9,3598,40.2,16.26,50.09,1008065,29418,11.4,1.28,0.64,67.43,0,12.9,6.36,67.1,1134,19.46,13.02,60029
163,Mount Carmel Cemetery,40.6984065,-73.8856158,,Yes,108,1916,2024,1,21737.9,6577,39,14.29,50.98,758824,40962,51.53,2.81,0.94,4.26,0.06,27.95,12.47,81.8,2603,19.15,9.01,87205
164,Mount Neboh Cemetery,40.6961152,-73.8831241,,Yes,138,1886,2024,1,1355.1,410,41.7,16.34,45.78,659884,36365,53.66,2.44,0.98,4.39,0,22.44,16.1,81.4,156,17.91,5.97,94277
166,Wyckoff Snediker Cemetery,40.6962626,-73.8489289,,Yes,239,1785,2024,1,37496.8,11345,40.7,16.65,51.42,709400,35786,27.93,5.67,2.27,16,0.06,32.99,15.09,88,4083,20.48,10.34,80441
168,Salem Fields Cemetery,40.6887692,-73.8792047,,Yes,173,1851,2024,1,12235.6,3702,36.4,12.94,61.73,695402,32406,11.1,15.42,1.7,3.81,0.11,51.16,16.72,79.5,1276,27.39,7.13,80104
169,Fourth Shearith Israel Cemetery/ Beth Olem Cemetery,40.6904706,-73.8803471,,Yes,173,1851,2024,1,1619.5,490,37.2,13.06,62.5,663462,35666,13.06,14.49,1.43,3.88,0,46.12,20.61,81.7,154,33.96,3.77,84381
171,St. Paul's Churchyard,40.7115932,-74.0098303,,Yes,258,1766,2024,1,59019.9,17857,31,4.88,47.69,1675532,124321,62.92,5.05,0.22,18.89,0.1,3,9.82,63.7,9283,5.34,3.96,200001
173,Mount Lebanon Cemetery,40.700229,-73.8731223,,Yes,109,1915,2024,1,8243,2494,41,17.12,44.94,820628,44957,64.03,2.61,0.68,4.53,0,17.84,10.3,74.4,1020,22.54,5.82,92817
176,St. Patrick's old cathedral's cemetery,40.7237658,-73.9950931,,Yes,215,1809,2024,1,71020.9,21488,35.8,16.14,38.19,1445289,88987,54.43,5.75,0.24,23.37,0.13,6.79,9.29,72.1,12596,18.44,13.86,109705
177,St. Peter's Catholic Graveyard,40.7124899,-74.0095285,95,Yes,239,1785,2024,1,61092.2,18484,31.5,5.55,50.26,1830106,124640,64.12,4.7,0.21,18.08,0.11,2.81,9.98,62.4,9514,5.96,4.14,200001
178,Third Shearith Israel Cemetery,40.741624,-73.9944312,,Yes,195,1829,2024,1,83130.9,25152,36.5,12.51,36.99,1313107,132963,69.15,4.11,0.22,13.68,0.06,3.54,9.24,58.6,17404,10.9,10.75,174271
179,Second Shearith Israel Cemetery,40.7351482,-73.9978547,,Yes,219,1805,2024,1,93158.7,28186,37.5,19.04,33.02,1466529,133219,75.13,3.51,0.13,9.62,0.09,3.11,8.41,50.9,18859,12.45,6.69,183727
180,First Shearith Israel Cemetery,40.7127562,-73.9983644,,Yes,342,1682,2024,1,78556.6,23768,47.2,27.39,37.85,681034,26832,12.1,8.49,0.23,69.51,0.09,5.34,4.24,60.2,11344,21.34,37.15,31242
181,Passionist Monaestry Cemetery,40.7151042,-73.7843644,,Yes,100,1924,2024,1,32912.6,9958,41.5,19.83,48.13,884167,38227,11.68,21.59,1.27,42.01,0.31,13.83,9.32,81.7,3897,25.68,11.32,77350
187,Leverich Family Burial Ground,40.7500192,-73.8945481,,Yes,244,1780,2024,1,74474.7,22533,41.4,16.23,49.43,751147,38850,17.82,1.61,1.3,49.82,0.04,19.26,10.16,81.4,8874,15.53,11.98,70147
188,The New Burial Place without the gate of the city,40.7084111,-74.011873,,Yes,338,1686,2024,1,99497.9,30104,31.6,4.33,35.85,1360495,131131,61.16,4.41,0.19,21.31,0.07,2.84,10.02,64.6,18979,3.63,3.82,200001
